history_arm,history_label,replicate_id,round,trust_ratio,return_ratio
dossier,Current-partner dossier,2,5,0.55,0.34722222222222215
dossier,Current-partner dossier,2,6,0.8,0.31666666666666665
dossier,Current-partner dossier,2,7,0.8500000000000001,0.43749999999999994
dossier,Current-partner dossier,2,8,0.85,0.45555555555555555
dossier,Current-partner dossier,2,9,0.8,0.44166666666666665
dossier,Current-partner dossier,2,10,0.9,0.4086458333333334
dossier,Current-partner dossier,3,1,0.5,0.2326388888888889
dossier,Current-partner dossier,3,2,0.75,0.3333333333333333
dossier,Current-partner dossier,3,3,0.8,0.3572222222222222
dossier,Current-partner dossier,3,4,0.65,0.47
dossier,Current-partner dossier,3,5,0.8999999999999999,0.4397916666666667
dossier,Current-partner dossier,3,6,0.75,0.43729166666666663
dossier,Current-partner dossier,3,7,0.75,0.4388888888888889
dossier,Current-partner dossier,3,8,0.8,0.4305555555555555
dossier,Current-partner dossier,3,9,0.8999999999999999,0.425
dossier,Current-partner dossier,3,10,0.7999999999999999,0.43416666666666665
dossier,Current-partner dossier,4,1,0.6000000000000001,0.41347222222222224
dossier,Current-partner dossier,4,2,0.875,0.3467592592592592
dossier,Current-partner dossier,4,3,0.6749999999999999,0.41805555555555557
dossier,Current-partner dossier,4,4,0.7,0.3322222222222222
dossier,Current-partner dossier,4,5,0.8374999999999999,0.4450292397660819
dossier,Current-partner dossier,4,6,0.75,0.4502083333333333
dossier,Current-partner dossier,4,7,0.8,0.43066666666666664
dossier,Current-partner dossier,4,8,0.8125000000000001,0.3960049019607843
dossier,Current-partner dossier,4,9,0.9,0.3568333333333333
dossier,Current-partner dossier,4,10,0.8875,0.3855087719298246
public_ledger,Public population ledger,0,1,0.44999999999999996,0.26722222222222225
public_ledger,Public population ledger,0,2,0.75,0.3506944444444444
public_ledger,Public population ledger,0,3,0.775,0.39175925925925925
public_ledger,Public population ledger,0,4,0.725,0.4013888888888889
public_ledger,Public population ledger,0,5,0.75,0.42361111111111105
public_ledger,Public population ledger,0,6,0.8,0.4127777777777778
public_ledger,Public population ledger,0,7,0.8,0.4611111111111111
public_ledger,Public population ledger,0,8,0.85,0.4581349206349206
public_ledger,Public population ledger,0,9,0.8,0.5520833333333334
public_ledger,Public population ledger,0,10,0.8125000000000001,0.44412990196078433
public_ledger,Public population ledger,1,1,0.4,0.3204166666666666
public_ledger,Public population ledger,1,2,0.7250000000000001,0.3928333333333333
public_ledger,Public population ledger,1,3,0.6249999999999999,0.6507936507936508
public_ledger,Public population ledger,1,4,0.625,0.4444444444444444
public_ledger,Public population ledger,1,5,0.7500000000000001,0.4444444444444444
public_ledger,Public population ledger,1,6,0.675,0.5277777777777777
public_ledger,Public population ledger,1,7,0.7000000000000001,0.3958333333333333
public_ledger,Public population ledger,1,8,0.7749999999999999,0.4718253968253968
public_ledger,Public population ledger,1,9,0.8,0.5208333333333334
public_ledger,Public population ledger,1,10,0.65,0.5833333333333334
public_ledger,Public population ledger,2,1,0.45000000000000007,0.28541666666666665
public_ledger,Public population ledger,2,2,0.675,0.44999999999999996
public_ledger,Public population ledger,2,3,0.7749999999999999,0.4039351851851852
public_ledger,Public population ledger,2,4,0.65,0.4558333333333333
public_ledger,Public population ledger,2,5,0.875,0.42074074074074075
public_ledger,Public population ledger,2,6,0.8500000000000001,0.4375
public_ledger,Public population ledger,2,7,0.8999999999999999,0.5333333333333333
public_ledger,Public population ledger,2,8,0.7999999999999999,0.47800925925925924
public_ledger,Public population ledger,2,9,0.775,0.5261210317460316
public_ledger,Public population ledger,2,10,0.7749999999999999,0.5223214285714286
public_ledger,Public population ledger,3,1,0.5,0.21458333333333335
public_ledger,Public population ledger,3,2,0.8,0.31729166666666664
public_ledger,Public population ledger,3,3,0.775,0.37016666666666664
public_ledger,Public population ledger,3,4,0.8,0.33749999999999997
public_ledger,Public population ledger,3,5,0.75,0.33916666666666667
public_ledger,Public population ledger,3,6,0.85,0.5021666666666667
public_ledger,Public population ledger,3,7,0.8,0.41701388888888885
public_ledger,Public population ledger,3,8,0.7,0.5252083333333333
public_ledger,Public population ledger,3,9,0.95,0.4297916666666667
public_ledger,Public population ledger,3,10,0.65,0.5305555555555556
public_ledger,Public population ledger,4,1,0.6,0.4836111111111111
public_ledger,Public population ledger,4,2,0.65,0.3819444444444444
public_ledger,Public population ledger,4,3,0.75,0.36180555555555555
public_ledger,Public population ledger,4,4,0.7,0.5281746031746032
public_ledger,Public population ledger,4,5,0.7000000000000001,0.4635416666666667
public_ledger,Public population ledger,4,6,0.875,0.5092592592592593
public_ledger,Public population ledger,4,7,0.95,0.48333333333333334
public_ledger,Public population ledger,4,8,0.75,0.5121296296296296
public_ledger,Public population ledger,4,9,0.85,0.4152777777777778
public_ledger,Public population ledger,4,10,0.875,0.4851388888888889
