policy,policy_label,scope,lexicon,term,count
normal,Defector myth,target_response,cooperation_fairness,shares,1
normal,Defector myth,target_response,cooperation_fairness,trusts,1
normal,Defector myth,target_response,defection_threat,withhold,6
normal,Defector myth,target_response,defection_threat,betrayal,3
normal,Defector myth,target_response,defection_threat,threatened,2
normal,Defector myth,target_response,defection_threat,withholding,2
normal,Defector myth,target_response,defection_threat,zero,2
normal,Defector myth,target_response,defection_threat,betrayed,1
normal,Defector myth,target_response,defection_threat,distrust,1
normal,Defector myth,target_response,defection_threat,exploited,1
normal,Defector myth,target_response,defection_threat,punish,1
normal,Defector myth,target_response,defection_threat,retaliatory,1
normal,Defector myth,target_response,defection_threat,selfishness,1
normal,Defector myth,target_response,defection_threat,threatens,1
normal,Defector myth,target_response,defection_threat,withholds,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,return,68
standard_substitute,Ordinary substitute,presented,cooperation_fairness,trust,58
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shared,49
standard_substitute,Ordinary substitute,presented,cooperation_fairness,returned,35
standard_substitute,Ordinary substitute,presented,cooperation_fairness,returning,29
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shards,23
standard_substitute,Ordinary substitute,presented,cooperation_fairness,mutual,22
standard_substitute,Ordinary substitute,presented,cooperation_fairness,share,20
standard_substitute,Ordinary substitute,presented,cooperation_fairness,reciprocity,17
standard_substitute,Ordinary substitute,presented,cooperation_fairness,trusting,12
standard_substitute,Ordinary substitute,presented,cooperation_fairness,together,11
standard_substitute,Ordinary substitute,presented,cooperation_fairness,gift,9
standard_substitute,Ordinary substitute,presented,cooperation_fairness,fairness,8
standard_substitute,Ordinary substitute,presented,cooperation_fairness,generosity,8
standard_substitute,Ordinary substitute,presented,cooperation_fairness,reciprocal,7
standard_substitute,Ordinary substitute,presented,cooperation_fairness,returns,6
standard_substitute,Ordinary substitute,presented,cooperation_fairness,cooperation,3
standard_substitute,Ordinary substitute,presented,cooperation_fairness,fair,3
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shard,3
standard_substitute,Ordinary substitute,presented,cooperation_fairness,help,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shares,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,sharing,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,sharp,1
standard_substitute,Ordinary substitute,presented,defection_threat,withhold,3
standard_substitute,Ordinary substitute,presented,defection_threat,betrayal,1
standard_substitute,Ordinary substitute,presented,defection_threat,selfish,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,return,73
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,trust,55
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,shared,47
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,returned,31
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,returning,25
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,mutual,20
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,reciprocity,20
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,share,20
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,shards,16
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,trusting,10
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,together,9
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,gift,8
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,cooperation,6
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,reciprocal,6
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,fair,5
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,generosity,4
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,returns,4
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,fairness,2
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,sharing,2
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,gifted,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,help,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,sharp,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,trusted,1
standard_substitute,Ordinary substitute,target_response,defection_threat,withhold,2
standard_substitute,Ordinary substitute,target_response,defection_threat,selfish,1
standard_substitute,Ordinary substitute,target_response,defection_threat,threatened,1
standard_substitute,Ordinary substitute,target_response,defection_threat,threatening,1
