batch,condition,condition_label,replicate,path,avg_sent,avg_returned,avg_return_ratio,final_agent_1,final_agent_2,final_mean_balance,final_total_balance,escalated_send,escalated_return
myth_causal_confirm_claude_fixed_prompt,myth_game_directive,Myth-Game Directive,3,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_013_neutral_rep03_myth_game_directive_anything.json,3.0,6.0,0.6666666666666666,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt,myth_game_directive,Myth-Game Directive,4,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_014_neutral_rep04_myth_game_directive_anything.json,4.0,7.0,0.5833333333333334,52.0,52.0,52.0,104.0,True,True
myth_causal_confirm_claude_fixed_prompt_topup,game_only,Game Only,0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_000_neutral_rep00.json,4.0,7.0,0.5833333333333334,52.0,52.0,52.0,104.0,True,True
myth_causal_confirm_claude_fixed_prompt_topup,game_only,Game Only,1,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_001_neutral_rep01.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,game_only,Game Only,2,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_002_neutral_rep02.json,3.0,4.5,0.5,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,game_only,Game Only,3,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_003_neutral_rep03.json,3.0,4.5,0.5,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,game_only,Game Only,4,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_004_neutral_rep04.json,4.25,8.34375,0.6392361111111111,52.25,55.75,54.0,108.0,True,True
myth_causal_confirm_claude_fixed_prompt_topup,myth_control,Myth Control,0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_005_neutral_rep00_myth_control_anything.json,4.0,6.0,0.5,52.0,52.0,52.0,104.0,True,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_control,Myth Control,1,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_006_neutral_rep01_myth_control_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_control,Myth Control,2,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_007_neutral_rep02_myth_control_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_control,Myth Control,3,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_008_neutral_rep03_myth_control_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_control,Myth Control,4,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_009_neutral_rep04_myth_control_anything.json,3.0,4.5,0.5,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_game_directive,Myth-Game Directive,0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_010_neutral_rep00_myth_game_directive_anything.json,4.0,6.0,0.5,52.0,52.0,52.0,104.0,True,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_game_directive,Myth-Game Directive,1,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_011_neutral_rep01_myth_game_directive_anything.json,3.0,5.0,0.5555555555555556,44.0,44.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_game_directive,Myth-Game Directive,2,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_012_neutral_rep02_myth_game_directive_anything.json,3.0,5.875,0.6527777777777777,43.0,45.0,44.0,88.0,False,False
myth_causal_confirm_claude_fixed_prompt_topup,myth_game_directive,Myth-Game Directive,3,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_013_neutral_rep03_myth_game_directive_anything.json,4.0,10.25,0.8541666666666667,50.0,54.0,52.0,104.0,True,True
myth_causal_confirm_claude_fixed_prompt_topup,myth_game_directive,Myth-Game Directive,4,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_014_neutral_rep04_myth_game_directive_anything.json,3.5,6.375,0.6006944444444444,49.0,47.0,48.0,96.0,True,True
