exp,cond,file,round,mean_pairwise_sim
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,3,0.40791586
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,4,0.2819672
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,5,0.49120426
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,6,0.428541
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,7,0.38147026
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,8,0.575407
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,9,0.39599228
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_008_neutral_rep03_myth_control_anything,10,0.49012774
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,1,0.5874264
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,2,0.48167512
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,3,0.33941314
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,4,0.39518344
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,5,0.38211194
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,6,0.56742644
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,7,0.6234567
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,8,0.7007842
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,9,0.6742019
claude_2agent_newprompt,control,myth_causal_normative_newprompt_claude_r10_n5_009_neutral_rep04_myth_control_anything,10,0.8109529
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,1,0.7933667
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,2,0.6451912
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,3,0.6115259
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,4,0.709382
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,5,0.71943367
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,6,0.74078566
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,7,0.85500693
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,8,0.8116911
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,9,0.8382156
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_010_neutral_rep00_myth_game_directive_anything,10,0.90087485
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,1,0.75300175
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,2,0.817111
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,3,0.75999355
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,4,0.73468125
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,5,0.7242741
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,6,0.7725936
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,7,0.7932011
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,8,0.6285809
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,9,0.8751515
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_011_neutral_rep01_myth_game_directive_anything,10,0.8178133
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,1,0.8254467
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,2,0.69629705
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,3,0.72073144
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,4,0.71861315
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,5,0.79143655
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,6,0.74621487
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,7,0.7332643
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,8,0.69829404
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,9,0.8558577
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_012_neutral_rep02_myth_game_directive_anything,10,0.6944233
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,1,0.88420177
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,2,0.611972
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,3,0.64330506
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,4,0.7477169
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,5,0.8131463
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,6,0.7384788
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,7,0.778846
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,8,0.7800444
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,9,0.70556253
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_013_neutral_rep03_myth_game_directive_anything,10,0.8264523
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,1,0.924734
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,2,0.75259954
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,3,0.77272403
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,4,0.83428884
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,5,0.81381655
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,6,0.8314306
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,7,0.80543286
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,8,0.89051723
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,9,0.85875416
claude_2agent_newprompt,directive,myth_causal_normative_newprompt_claude_r10_n5_014_neutral_rep04_myth_game_directive_anything,10,0.8434148
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,1,0.92946047
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,2,0.68326014
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,3,0.7547095
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,4,0.67295444
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,5,0.65280956
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,6,0.7015248
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,7,0.7385112
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,8,0.77775973
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,9,0.8245935
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_015_neutral_rep00_myth_game_normative_anything,10,0.7857537
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,1,0.77134013
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,2,0.789961
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,3,0.6546916
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,4,0.8704828
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,5,0.6181334
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,6,0.853407
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,7,0.79793364
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,8,0.6517625
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,9,0.7983111
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_016_neutral_rep01_myth_game_normative_anything,10,0.6716051
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,1,0.84820116
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,2,0.7592148
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,3,0.5691489
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,4,0.7163376
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,5,0.690673
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,6,0.8103218
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,7,0.70283234
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,8,0.7381121
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,9,0.7819478
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_017_neutral_rep02_myth_game_normative_anything,10,0.7159753
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,1,0.9400228
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,2,0.7232649
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,3,0.81367815
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,4,0.8425591
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,5,0.80346364
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,6,0.8453313
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,7,0.8367337
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,8,0.8773657
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,9,0.88000196
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_018_neutral_rep03_myth_game_normative_anything,10,0.9538268
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,1,0.8312177
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,2,0.6582812
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,3,0.57361746
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,4,0.74627686
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,5,0.8664433
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,6,0.6303794
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,7,0.8601298
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,8,0.84515846
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,9,0.77610177
claude_2agent_newprompt,normative,myth_causal_normative_newprompt_claude_r10_n5_019_neutral_rep04_myth_game_normative_anything,10,0.78303254
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,1,0.65032333
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,2,0.5863611
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,3,0.595956
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,4,0.5661649
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,5,0.59146976
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,6,0.6286809
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,7,0.65317786
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,8,0.68578875
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,0.66745895
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,0.62841004
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,1,0.70383674
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,2,0.6420656
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,3,0.6458309
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,4,0.6596156
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,5,0.56509143
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,6,0.6020078
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,7,0.6449648
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,8,0.6749801
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,9,0.6858735
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_002_neutral_rep02_myth_game_directive_anything,10,0.6727959
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,1,0.74036515
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,2,0.6408916
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,3,0.70243037
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,4,0.6303479
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,5,0.66143066
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,6,0.63724005
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,7,0.57055306
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,8,0.5527308
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,9,0.57884836
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_003_neutral_rep03_myth_game_directive_anything,10,0.5536635
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,1,0.72488105
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,2,0.6014782
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,3,0.6424131
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,4,0.6012944
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,5,0.63638484
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,6,0.6262916
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,7,0.6402011
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,8,0.61088985
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,9,0.6014797
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_004_neutral_rep04_myth_game_directive_anything,10,0.5618528
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,1,0.71754307
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,2,0.6250549
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,3,0.58272994
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,4,0.5477835
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,5,0.5535231
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,6,0.57138956
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,7,0.5979996
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,8,0.52813405
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,9,0.5811102
gemini31_8agent_named,directive,gemini31_flashlite_8agent_myth_directive_history3_r10_n5_005_neutral_rep05_myth_game_directive_anything,10,0.5717873
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,1,0.7463818
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,2,0.74822205
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,3,0.6033282
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,4,0.8216177
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,5,0.8106965
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,6,0.84327376
gemini_2agent_clamped,control,myth_causal_normative_clamped_gemini31_flashlite_r10_n5_005_neutral_rep00_myth_control_anything,7,0.8921523
