condition,replicate_id,round,target_type,visible_return_ratio,deduction_spent,any_deduction
control,94,6,standard,0.5601659751037343,0,0.0
control,94,6,standard,0.4373333333333333,0,0.0
control,94,6,standard,0.5168458781362006,0,0.0
control,94,7,standard,0.5,0,0.0
control,94,7,standard,0.43533333333333335,0,0.0
control,94,7,standard,0.4900343642611684,0,0.0
control,94,7,standard,0.5373333333333333,0,0.0
control,94,8,standard,0.4666666666666667,0,0.0
control,94,8,standard,0.522,0,0.0
control,94,8,standard,0.5067204301075269,0,0.0
control,94,8,standard,0.5633333333333332,0,0.0
control,94,9,standard,0.5173333333333333,0,0.0
control,94,9,standard,0.458,0,0.0
control,94,9,standard,0.458,0,0.0
control,94,9,standard,0.5193333333333333,0,0.0
control,94,10,standard,0.53,0,0.0
control,94,10,standard,0.466,0,0.0
control,94,10,standard,0.446,0,0.0
control,94,10,standard,0.516,0,0.0
control,95,1,standard,0.5700934579439253,0,0.0
control,95,1,standard,0.58128078817734,0,0.0
control,95,1,standard,0.528,0,0.0
control,95,1,standard,0.5326666666666667,0,0.0
control,95,2,standard,0.49490835030549896,0,0.0
control,95,2,standard,0.486,0,0.0
control,95,2,standard,0.5213270142180094,0,0.0
control,95,2,standard,0.5186751233262861,0,0.0
control,95,3,standard,0.5511695906432749,0,0.0
control,95,3,standard,0.537563822027717,0,0.0
control,95,3,standard,0.5584229390681004,0,0.0
control,95,3,standard,0.5473856209150327,0,0.0
control,95,4,standard,0.45295404814004375,0,0.0
control,95,4,standard,0.6292134831460674,0,0.0
control,95,4,standard,0.570079883805374,0,0.0
control,95,4,standard,0.5317796610169492,0,0.0
control,95,5,standard,0.53,0,0.0
control,95,5,standard,0.5466666666666666,0,0.0
control,95,5,standard,0.5279642058165548,0,0.0
control,95,5,standard,0.5434618291761149,0,0.0
control,95,6,standard,0.5883620689655172,0,0.0
control,95,6,standard,0.44666666666666666,0,0.0
control,95,6,standard,0.43584229390681,0,0.0
control,95,6,standard,0.45866666666666667,0,0.0
control,95,7,standard,0.4706666666666666,0,0.0
control,95,7,standard,0.5233333333333333,0,0.0
control,95,7,standard,0.4973056197074673,0,0.0
control,95,7,standard,0.47787610619469034,0,0.0
control,95,8,standard,0.5406666666666666,0,0.0
control,95,8,standard,0.47054886211512714,0,0.0
control,95,8,standard,0.5652808169219548,0,0.0
control,95,8,standard,0.4263392857142857,0,0.0
control,95,9,standard,0.47333333333333333,0,0.0
control,95,9,standard,0.5037800687285223,0,0.0
control,95,9,standard,0.534,0,0.0
control,95,9,standard,0.4720357941834452,0,0.0
control,95,10,standard,0.5313333333333333,0,0.0
control,95,10,standard,0.5086666666666667,0,0.0
control,95,10,standard,0.48533333333333334,0,0.0
control,95,10,standard,0.4635922330097088,0,0.0
defectors25,93,1,defector,0.04533333333333334,2,1.0
defectors25,93,1,standard,0.5453333333333333,0,0.0
defectors25,93,1,standard,0.5553333333333333,0,0.0
defectors25,93,2,standard,0.5546334716459197,0,0.0
defectors25,93,2,standard,0.5449346405228758,0,0.0
defectors25,93,2,standard,0.48533333333333334,0,0.0
defectors25,93,3,defector,0.052000000000000005,2,1.0
defectors25,93,3,standard,0.42928039702233256,0,0.0
defectors25,93,3,standard,0.5295950155763239,0,0.0
defectors25,93,4,defector,0.0,2,1.0
defectors25,93,4,standard,0.44466666666666665,0,0.0
defectors25,93,4,standard,0.5513333333333333,0,0.0
defectors25,93,5,standard,0.5333333333333333,0,0.0
defectors25,93,5,standard,0.4706666666666666,0,0.0
defectors25,93,6,defector,0.054451802796173655,2,1.0
defectors25,93,6,defector,0.0,2,1.0
defectors25,93,6,standard,0.5660000000000001,0,0.0
defectors25,93,6,standard,0.575371549893843,0,0.0
defectors25,93,7,defector,0.0,2,1.0
defectors25,93,7,standard,0.5173116089613035,0,0.0
defectors25,93,7,standard,0.5226053639846744,0,0.0
defectors25,93,8,defector,0.022000000000000002,2,1.0
defectors25,93,8,standard,0.49600000000000005,0,0.0
defectors25,93,8,standard,0.4653333333333334,0,0.0
defectors25,93,9,standard,0.5671641791044777,0,0.0
defectors25,93,9,standard,0.5026666666666667,0,0.0
defectors25,93,9,standard,0.4524922118380062,0,0.0
defectors25,93,10,defector,0.0,2,1.0
defectors25,93,10,standard,0.502,0,0.0
defectors25,93,10,standard,0.4936284372904091,0,0.0
defectors25,94,1,defector,0.06639288158795345,2,1.0
defectors25,94,1,defector,0.0013976240391334732,2,1.0
defectors25,94,1,standard,0.5289855072463769,0,0.0
defectors25,94,1,standard,0.508,0,0.0
defectors25,94,2,standard,0.4533333333333333,0,0.0
defectors25,94,2,standard,0.456,0,0.0
defectors25,94,3,defector,0.0,2,1.0
defectors25,94,3,standard,0.4393333333333333,0,0.0
defectors25,94,3,standard,0.5273333333333333,0,0.0
defectors25,94,4,defector,0.06468797564687975,2,1.0
defectors25,94,4,standard,0.49466666666666664,0,0.0
defectors25,94,4,standard,0.5519999999999999,0,0.0
defectors25,94,5,standard,0.4373333333333333,0,0.0
defectors25,94,5,standard,0.5173775671406003,0,0.0
defectors25,94,5,standard,0.48717948717948717,0,0.0
defectors25,94,6,standard,0.5601659751037343,0,0.0
defectors25,94,6,standard,0.4373333333333333,0,0.0
defectors25,94,6,standard,0.5182795698924731,0,0.0
defectors25,94,7,standard,0.5051546391752577,0,0.0
defectors25,94,7,standard,0.5373333333333333,0,0.0
defectors25,94,8,defector,0.002688172043010753,2,1.0
defectors25,94,8,defector,0.06333333333333332,2,1.0
defectors25,94,8,standard,0.4666666666666667,0,0.0
defectors25,94,8,standard,0.522,0,0.0
defectors25,94,9,defector,0.0,2,1.0
defectors25,94,9,standard,0.5173333333333333,0,0.0
defectors25,94,9,standard,0.458,0,0.0
defectors25,94,10,defector,0.016,2,1.0
defectors25,94,10,standard,0.466,0,0.0
defectors25,94,10,standard,0.446,0,0.0
defectors25,95,1,defector,0.03266666666666666,2,1.0
defectors25,95,1,standard,0.58128078817734,0,0.0
defectors25,95,1,standard,0.528,0,0.0
defectors25,95,2,defector,0.0,2,1.0
defectors25,95,2,standard,0.486,0,0.0
defectors25,95,2,standard,0.5078988941548183,0,0.0
defectors25,95,3,defector,0.0029239766081871348,2,1.0
defectors25,95,3,standard,0.537563822027717,0,0.0
defectors25,95,3,standard,0.5569892473118279,0,0.0
defectors25,95,4,defector,0.03177966101694915,2,1.0
defectors25,95,4,standard,0.4638949671772429,0,0.0
defectors25,95,4,standard,0.5917602996254682,0,0.0
defectors25,95,5,defector,0.030000000000000002,2,1.0
defectors25,95,5,defector,0.043083900226757364,2,1.0
defectors25,95,5,standard,0.5466666666666666,0,0.0
defectors25,95,5,standard,0.5287099179716629,0,0.0
defectors25,95,6,standard,0.5883620689655172,0,0.0
defectors25,95,6,standard,0.45866666666666667,0,0.0
defectors25,95,7,standard,0.4706666666666666,0,0.0
defectors25,95,7,standard,0.5233333333333333,0,0.0
defectors25,95,7,standard,0.5309734513274337,0,0.0
defectors25,95,8,defector,0.0,2,1.0
defectors25,95,8,standard,0.5406666666666666,0,0.0
defectors25,95,8,standard,0.47255689424364117,0,0.0
defectors25,95,9,defector,0.0,2,1.0
defectors25,95,9,defector,0.034,2,1.0
defectors25,95,9,standard,0.5189003436426117,0,0.0
defectors25,95,9,standard,0.4720357941834452,0,0.0
defectors25,95,10,standard,0.5313333333333333,0,0.0
defectors25,95,10,standard,0.48533333333333334,0,0.0
