policy,policy_label,replicate_id,round,standard_send_ratio
standard_substitute,Ordinary substitute,53,4,1.0
standard_substitute,Ordinary substitute,53,5,1.0
standard_substitute,Ordinary substitute,53,6,1.0
standard_substitute,Ordinary substitute,53,7,1.0
standard_substitute,Ordinary substitute,53,8,1.0
standard_substitute,Ordinary substitute,53,9,1.0
standard_substitute,Ordinary substitute,53,10,1.0
standard_substitute,Ordinary substitute,54,1,1.0
standard_substitute,Ordinary substitute,54,2,1.0
standard_substitute,Ordinary substitute,54,3,1.0
standard_substitute,Ordinary substitute,54,4,1.0
standard_substitute,Ordinary substitute,54,5,1.0
standard_substitute,Ordinary substitute,54,6,1.0
standard_substitute,Ordinary substitute,54,7,1.0
standard_substitute,Ordinary substitute,54,8,1.0
standard_substitute,Ordinary substitute,54,9,1.0
standard_substitute,Ordinary substitute,54,10,1.0
standard_substitute,Ordinary substitute,55,1,1.0
standard_substitute,Ordinary substitute,55,2,1.0
standard_substitute,Ordinary substitute,55,3,1.0
standard_substitute,Ordinary substitute,55,4,1.0
standard_substitute,Ordinary substitute,55,5,1.0
standard_substitute,Ordinary substitute,55,6,1.0
standard_substitute,Ordinary substitute,55,7,1.0
standard_substitute,Ordinary substitute,55,8,1.0
standard_substitute,Ordinary substitute,55,9,1.0
standard_substitute,Ordinary substitute,55,10,1.0
standard_substitute,Ordinary substitute,56,1,1.0
standard_substitute,Ordinary substitute,56,2,1.0
standard_substitute,Ordinary substitute,56,3,1.0
standard_substitute,Ordinary substitute,56,4,1.0
standard_substitute,Ordinary substitute,56,5,1.0
standard_substitute,Ordinary substitute,56,6,1.0
standard_substitute,Ordinary substitute,56,7,1.0
standard_substitute,Ordinary substitute,56,8,1.0
standard_substitute,Ordinary substitute,56,9,1.0
standard_substitute,Ordinary substitute,56,10,1.0
standard_substitute,Ordinary substitute,57,1,1.0
standard_substitute,Ordinary substitute,57,2,1.0
standard_substitute,Ordinary substitute,57,3,1.0
standard_substitute,Ordinary substitute,57,4,1.0
standard_substitute,Ordinary substitute,57,5,1.0
standard_substitute,Ordinary substitute,57,6,1.0
standard_substitute,Ordinary substitute,57,7,1.0
standard_substitute,Ordinary substitute,57,8,1.0
standard_substitute,Ordinary substitute,57,9,1.0
standard_substitute,Ordinary substitute,57,10,1.0
standard_substitute,Ordinary substitute,58,1,1.0
standard_substitute,Ordinary substitute,58,2,1.0
standard_substitute,Ordinary substitute,58,3,1.0
standard_substitute,Ordinary substitute,58,4,1.0
standard_substitute,Ordinary substitute,58,5,1.0
standard_substitute,Ordinary substitute,58,6,1.0
standard_substitute,Ordinary substitute,58,7,1.0
standard_substitute,Ordinary substitute,58,8,1.0
standard_substitute,Ordinary substitute,58,9,1.0
standard_substitute,Ordinary substitute,58,10,1.0
standard_substitute,Ordinary substitute,59,1,1.0
standard_substitute,Ordinary substitute,59,2,1.0
standard_substitute,Ordinary substitute,59,3,1.0
standard_substitute,Ordinary substitute,59,4,1.0
standard_substitute,Ordinary substitute,59,5,1.0
standard_substitute,Ordinary substitute,59,6,1.0
standard_substitute,Ordinary substitute,59,7,1.0
standard_substitute,Ordinary substitute,59,8,1.0
standard_substitute,Ordinary substitute,59,9,1.0
standard_substitute,Ordinary substitute,59,10,1.0
