Prompt Arm,Noise Condition,round,mean_cumulative_balance,path
Myth-Game Directive,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_011_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,57.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_012_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_013_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_014_neutral_rep04_myth_game_directive_anything.json
Game Only,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_000_neutral_rep00.json
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_001_neutral_rep01.json
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_002_neutral_rep02.json
Game Only,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_003_neutral_rep03.json
Game Only,No Noise,8,54.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_topup_004_neutral_rep04.json
Myth Control,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_005_neutral_rep00_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_006_neutral_rep01_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_007_neutral_rep02_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_008_neutral_rep03_myth_control_anything.json
Myth Control,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_009_neutral_rep04_myth_control_anything.json
Myth-Game Directive,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_010_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_011_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,44.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_012_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,52.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_013_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,No Noise,8,48.0,data/json/myth_causal_confirm_claude_fixed_prompt_topup/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_topup_014_neutral_rep04_myth_game_directive_anything.json
Game Only,"Informed Negative U(0,2)",8,41.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_000_neutral_rep00.json
Game Only,"Informed Negative U(0,2)",8,33.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_001_neutral_rep01.json
Game Only,"Informed Negative U(0,2)",8,32.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_002_neutral_rep02.json
Myth Control,"Informed Negative U(0,2)",8,38.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_003_neutral_rep00_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,32.75,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_004_neutral_rep01_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,38.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_005_neutral_rep02_myth_control_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,34.85,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_006_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,31.799999999999997,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_007_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,48.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_pilot/myth_causal_noise_negative2_informed_claude_pilot/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_pilot_008_neutral_rep02_myth_game_directive_anything.json
Game Only,"Informed Negative U(0,2)",8,28.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_000_neutral_rep00.json
Game Only,"Informed Negative U(0,2)",8,36.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_001_neutral_rep01.json
Game Only,"Informed Negative U(0,2)",8,37.25,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_002_neutral_rep02.json
Game Only,"Informed Negative U(0,2)",8,32.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_003_neutral_rep03.json
Game Only,"Informed Negative U(0,2)",8,29.700000000000003,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_004_neutral_rep04.json
Game Only,"Informed Negative U(0,2)",8,32.75,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_005_neutral_rep05.json
Game Only,"Informed Negative U(0,2)",8,37.400000000000006,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_006_neutral_rep06.json
Myth Control,"Informed Negative U(0,2)",8,37.25,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_007_neutral_rep00_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,31.75,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_008_neutral_rep01_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,39.95,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_009_neutral_rep02_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,37.25,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_010_neutral_rep03_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,37.25,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_011_neutral_rep04_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,39.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_012_neutral_rep05_myth_control_anything.json
Myth Control,"Informed Negative U(0,2)",8,32.75,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_013_neutral_rep06_myth_control_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,32.45,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_014_neutral_rep00_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,34.5,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_015_neutral_rep01_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,41.7,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_016_neutral_rep02_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,43.25,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_017_neutral_rep03_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,39.0,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_018_neutral_rep04_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,40.24000000000001,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_019_neutral_rep05_myth_game_directive_anything.json
Myth-Game Directive,"Informed Negative U(0,2)",8,41.6,data/json/noise_experiments/myth_causal_negative2_informed_claude_topup/myth_causal_noise_negative2_informed_claude_topup/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_8/myth_causal_noise_negative2_informed_claude_topup_020_neutral_rep06_myth_game_directive_anything.json
