run_idx,condition,condition_label,round,sent,returned,received,return_ratio,mean_balance
7,game_only,Game Only,5,3.0,5.0,9.0,0.5555555555555556,27.5
7,game_only,Game Only,6,3.0,5.0,9.0,0.5555555555555556,33.0
7,game_only,Game Only,7,3.0,5.0,9.0,0.5555555555555556,38.5
7,game_only,Game Only,8,3.0,5.0,9.0,0.5555555555555556,44.0
7,game_only,Game Only,9,3.0,5.0,9.0,0.5555555555555556,49.5
7,game_only,Game Only,10,3.0,5.0,9.0,0.5555555555555556,55.0
8,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
8,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
8,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
8,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
8,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
8,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
8,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
8,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
8,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
8,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
9,game_only,Game Only,1,3.0,4.5,9.0,0.5,5.5
9,game_only,Game Only,2,3.0,4.5,9.0,0.5,11.0
9,game_only,Game Only,3,3.0,4.5,9.0,0.5,16.5
9,game_only,Game Only,4,3.0,4.5,9.0,0.5,22.0
9,game_only,Game Only,5,3.0,4.5,9.0,0.5,27.5
9,game_only,Game Only,6,3.0,4.5,9.0,0.5,33.0
9,game_only,Game Only,7,3.0,4.5,9.0,0.5,38.5
9,game_only,Game Only,8,3.0,4.5,9.0,0.5,44.0
9,game_only,Game Only,9,3.0,4.5,9.0,0.5,49.5
9,game_only,Game Only,10,3.0,4.5,9.0,0.5,55.0
10,myth_control,Myth Control,1,3.0,5.0,9.0,0.5555555555555556,5.5
10,myth_control,Myth Control,2,3.0,5.0,9.0,0.5555555555555556,11.0
10,myth_control,Myth Control,3,3.0,5.0,9.0,0.5555555555555556,16.5
10,myth_control,Myth Control,4,3.0,5.0,9.0,0.5555555555555556,22.0
10,myth_control,Myth Control,5,3.0,5.0,9.0,0.5555555555555556,27.5
10,myth_control,Myth Control,6,3.0,5.0,9.0,0.5555555555555556,33.0
10,myth_control,Myth Control,7,3.0,5.0,9.0,0.5555555555555556,38.5
10,myth_control,Myth Control,8,3.0,5.0,9.0,0.5555555555555556,44.0
10,myth_control,Myth Control,9,3.0,5.0,9.0,0.5555555555555556,49.5
10,myth_control,Myth Control,10,3.0,5.0,9.0,0.5555555555555556,55.0
11,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
11,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
11,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
11,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
11,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
11,myth_control,Myth Control,6,4.0,6.0,12.0,0.5,39.0
11,myth_control,Myth Control,7,4.0,6.0,12.0,0.5,45.5
11,myth_control,Myth Control,8,4.0,6.0,12.0,0.5,52.0
11,myth_control,Myth Control,9,4.0,6.0,12.0,0.5,58.5
11,myth_control,Myth Control,10,4.0,6.0,12.0,0.5,65.0
12,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
12,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
12,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
12,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
12,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
12,myth_control,Myth Control,6,4.0,6.0,12.0,0.5,39.0
12,myth_control,Myth Control,7,4.0,6.0,12.0,0.5,45.5
12,myth_control,Myth Control,8,4.0,6.0,12.0,0.5,52.0
12,myth_control,Myth Control,9,4.0,6.0,12.0,0.5,58.5
12,myth_control,Myth Control,10,4.0,6.0,12.0,0.5,65.0
13,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
13,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
13,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
13,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
13,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
13,myth_control,Myth Control,6,4.0,6.0,12.0,0.5,39.0
13,myth_control,Myth Control,7,4.0,6.0,12.0,0.5,45.5
13,myth_control,Myth Control,8,4.0,6.0,12.0,0.5,52.0
13,myth_control,Myth Control,9,4.0,6.0,12.0,0.5,58.5
13,myth_control,Myth Control,10,4.0,6.0,12.0,0.5,65.0
14,myth_control,Myth Control,1,3.0,5.0,9.0,0.5555555555555556,5.5
14,myth_control,Myth Control,2,3.0,5.0,9.0,0.5555555555555556,11.0
14,myth_control,Myth Control,3,3.0,5.0,9.0,0.5555555555555556,16.5
14,myth_control,Myth Control,4,3.0,5.0,9.0,0.5555555555555556,22.0
14,myth_control,Myth Control,5,3.0,5.0,9.0,0.5555555555555556,27.5
14,myth_control,Myth Control,6,3.0,5.0,9.0,0.5555555555555556,33.0
14,myth_control,Myth Control,7,3.0,5.0,9.0,0.5555555555555556,38.5
14,myth_control,Myth Control,8,3.0,5.0,9.0,0.5555555555555556,44.0
14,myth_control,Myth Control,9,3.0,5.0,9.0,0.5555555555555556,49.5
14,myth_control,Myth Control,10,3.0,5.0,9.0,0.5555555555555556,55.0
15,myth_control,Myth Control,1,3.0,5.0,9.0,0.5555555555555556,5.5
15,myth_control,Myth Control,2,3.0,5.0,9.0,0.5555555555555556,11.0
15,myth_control,Myth Control,3,3.0,5.0,9.0,0.5555555555555556,16.5
15,myth_control,Myth Control,4,3.0,5.0,9.0,0.5555555555555556,22.0
15,myth_control,Myth Control,5,3.0,5.0,9.0,0.5555555555555556,27.5
15,myth_control,Myth Control,6,3.0,5.0,9.0,0.5555555555555556,33.0
15,myth_control,Myth Control,7,3.0,5.0,9.0,0.5555555555555556,38.5
15,myth_control,Myth Control,8,3.0,5.0,9.0,0.5555555555555556,44.0
15,myth_control,Myth Control,9,3.0,5.0,9.0,0.5555555555555556,49.5
15,myth_control,Myth Control,10,3.0,5.0,9.0,0.5555555555555556,55.0
16,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
16,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
16,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
16,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
16,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
16,myth_control,Myth Control,6,4.0,6.0,12.0,0.5,39.0
16,myth_control,Myth Control,7,4.0,6.0,12.0,0.5,45.5
16,myth_control,Myth Control,8,4.0,6.0,12.0,0.5,52.0
16,myth_control,Myth Control,9,5.0,8.0,15.0,0.5333333333333333,59.5
16,myth_control,Myth Control,10,5.0,8.0,15.0,0.5333333333333333,67.0
17,myth_control,Myth Control,1,3.0,4.5,9.0,0.5,5.5
17,myth_control,Myth Control,2,3.0,4.5,9.0,0.5,11.0
17,myth_control,Myth Control,3,3.0,4.5,9.0,0.5,16.5
17,myth_control,Myth Control,4,3.0,4.5,9.0,0.5,22.0
17,myth_control,Myth Control,5,3.0,4.5,9.0,0.5,27.5
17,myth_control,Myth Control,6,3.0,4.5,9.0,0.5,33.0
17,myth_control,Myth Control,7,3.0,4.5,9.0,0.5,38.5
17,myth_control,Myth Control,8,3.0,4.5,9.0,0.5,44.0
17,myth_control,Myth Control,9,3.0,4.5,9.0,0.5,49.5
17,myth_control,Myth Control,10,3.0,4.5,9.0,0.5,55.0
18,myth_control,Myth Control,1,3.0,4.5,9.0,0.5,5.5
18,myth_control,Myth Control,2,3.0,4.5,9.0,0.5,11.0
18,myth_control,Myth Control,3,3.0,4.5,9.0,0.5,16.5
18,myth_control,Myth Control,4,3.0,4.5,9.0,0.5,22.0
18,myth_control,Myth Control,5,3.0,4.5,9.0,0.5,27.5
18,myth_control,Myth Control,6,3.0,4.5,9.0,0.5,33.0
18,myth_control,Myth Control,7,3.0,4.5,9.0,0.5,38.5
18,myth_control,Myth Control,8,3.0,4.5,9.0,0.5,44.0
18,myth_control,Myth Control,9,3.0,4.5,9.0,0.5,49.5
18,myth_control,Myth Control,10,3.0,4.5,9.0,0.5,55.0
19,myth_control,Myth Control,1,4.0,6.0,12.0,0.5,6.5
19,myth_control,Myth Control,2,4.0,6.0,12.0,0.5,13.0
19,myth_control,Myth Control,3,4.0,6.0,12.0,0.5,19.5
19,myth_control,Myth Control,4,4.0,6.0,12.0,0.5,26.0
19,myth_control,Myth Control,5,4.0,6.0,12.0,0.5,32.5
19,myth_control,Myth Control,6,4.0,6.0,12.0,0.5,39.0
19,myth_control,Myth Control,7,4.0,6.0,12.0,0.5,45.5
19,myth_control,Myth Control,8,4.0,6.0,12.0,0.5,52.0
19,myth_control,Myth Control,9,4.0,6.0,12.0,0.5,58.5
19,myth_control,Myth Control,10,4.0,6.0,12.0,0.5,65.0
20,myth_game_directive,Myth-Game Directive,1,3.0,5.0,9.0,0.5555555555555556,5.5
20,myth_game_directive,Myth-Game Directive,2,3.5,6.0,10.5,0.5714285714285714,11.5
20,myth_game_directive,Myth-Game Directive,3,4.0,7.0,12.0,0.5833333333333334,18.0
20,myth_game_directive,Myth-Game Directive,4,4.5,9.5,13.5,0.7037037037037037,25.0
20,myth_game_directive,Myth-Game Directive,5,5.0,11.0,15.0,0.7333333333333333,32.5
20,myth_game_directive,Myth-Game Directive,6,5.0,12.0,15.0,0.8,40.0
20,myth_game_directive,Myth-Game Directive,7,5.0,13.0,15.0,0.8666666666666667,47.5
20,myth_game_directive,Myth-Game Directive,8,5.0,14.0,15.0,0.9333333333333333,55.0
20,myth_game_directive,Myth-Game Directive,9,5.0,15.0,15.0,1.0,62.5
20,myth_game_directive,Myth-Game Directive,10,5.0,15.0,15.0,1.0,70.0
21,myth_game_directive,Myth-Game Directive,1,4.0,6.0,12.0,0.5,6.5
21,myth_game_directive,Myth-Game Directive,2,4.0,6.0,12.0,0.5,13.0
21,myth_game_directive,Myth-Game Directive,3,4.0,6.0,12.0,0.5,19.5
21,myth_game_directive,Myth-Game Directive,4,4.0,6.0,12.0,0.5,26.0
21,myth_game_directive,Myth-Game Directive,5,4.0,6.0,12.0,0.5,32.5
21,myth_game_directive,Myth-Game Directive,6,4.0,6.0,12.0,0.5,39.0
21,myth_game_directive,Myth-Game Directive,7,4.0,6.0,12.0,0.5,45.5
21,myth_game_directive,Myth-Game Directive,8,4.0,6.0,12.0,0.5,52.0
21,myth_game_directive,Myth-Game Directive,9,4.0,6.0,12.0,0.5,58.5
21,myth_game_directive,Myth-Game Directive,10,4.0,6.0,12.0,0.5,65.0
22,myth_game_directive,Myth-Game Directive,1,3.0,4.5,9.0,0.5,5.5
22,myth_game_directive,Myth-Game Directive,2,3.0,5.0,9.0,0.5555555555555556,11.0
22,myth_game_directive,Myth-Game Directive,3,4.0,6.0,12.0,0.5,17.5
22,myth_game_directive,Myth-Game Directive,4,5.0,8.5,15.0,0.5666666666666667,25.0
22,myth_game_directive,Myth-Game Directive,5,5.0,9.0,15.0,0.6,32.5
22,myth_game_directive,Myth-Game Directive,6,5.0,10.0,15.0,0.6666666666666666,40.0
22,myth_game_directive,Myth-Game Directive,7,5.0,11.0,15.0,0.7333333333333333,47.5
22,myth_game_directive,Myth-Game Directive,8,5.0,12.0,15.0,0.8,55.0
22,myth_game_directive,Myth-Game Directive,9,5.0,13.0,15.0,0.8666666666666667,62.5
22,myth_game_directive,Myth-Game Directive,10,5.0,14.0,15.0,0.9333333333333333,70.0
23,myth_game_directive,Myth-Game Directive,1,4.0,6.0,12.0,0.5,6.5
23,myth_game_directive,Myth-Game Directive,2,4.0,7.0,12.0,0.5833333333333334,13.0
23,myth_game_directive,Myth-Game Directive,3,4.0,7.0,12.0,0.5833333333333334,19.5
23,myth_game_directive,Myth-Game Directive,4,4.0,8.0,12.0,0.6666666666666666,26.0
23,myth_game_directive,Myth-Game Directive,5,4.0,8.0,12.0,0.6666666666666666,32.5
23,myth_game_directive,Myth-Game Directive,6,4.0,8.0,12.0,0.6666666666666666,39.0
23,myth_game_directive,Myth-Game Directive,7,4.0,8.0,12.0,0.6666666666666666,45.5
23,myth_game_directive,Myth-Game Directive,8,4.0,8.0,12.0,0.6666666666666666,52.0
23,myth_game_directive,Myth-Game Directive,9,4.0,8.0,12.0,0.6666666666666666,58.5
23,myth_game_directive,Myth-Game Directive,10,4.0,8.0,12.0,0.6666666666666666,65.0
24,myth_game_directive,Myth-Game Directive,1,4.0,6.0,12.0,0.5,6.5
24,myth_game_directive,Myth-Game Directive,2,4.0,6.0,12.0,0.5,13.0
24,myth_game_directive,Myth-Game Directive,3,4.0,6.0,12.0,0.5,19.5
24,myth_game_directive,Myth-Game Directive,4,4.0,6.0,12.0,0.5,26.0
24,myth_game_directive,Myth-Game Directive,5,4.0,6.0,12.0,0.5,32.5
24,myth_game_directive,Myth-Game Directive,6,4.0,6.0,12.0,0.5,39.0
24,myth_game_directive,Myth-Game Directive,7,4.0,6.0,12.0,0.5,45.5
24,myth_game_directive,Myth-Game Directive,8,4.0,6.0,12.0,0.5,52.0
24,myth_game_directive,Myth-Game Directive,9,4.0,6.0,12.0,0.5,58.5
24,myth_game_directive,Myth-Game Directive,10,4.0,6.0,12.0,0.5,65.0
25,myth_game_directive,Myth-Game Directive,1,3.0,4.5,9.0,0.5,5.5
25,myth_game_directive,Myth-Game Directive,2,3.0,5.0,9.0,0.5555555555555556,11.0
25,myth_game_directive,Myth-Game Directive,3,3.5,6.0,10.5,0.5714285714285714,17.0
25,myth_game_directive,Myth-Game Directive,4,4.0,7.5,12.0,0.625,23.5
25,myth_game_directive,Myth-Game Directive,5,5.0,12.0,15.0,0.8,31.0
25,myth_game_directive,Myth-Game Directive,6,5.0,13.0,15.0,0.8666666666666667,38.5
25,myth_game_directive,Myth-Game Directive,7,5.0,13.5,15.0,0.9,46.0
25,myth_game_directive,Myth-Game Directive,8,5.0,14.0,15.0,0.9333333333333333,53.5
25,myth_game_directive,Myth-Game Directive,9,5.0,14.5,15.0,0.9666666666666667,61.0
25,myth_game_directive,Myth-Game Directive,10,5.0,14.75,15.0,0.9833333333333333,68.5
26,myth_game_directive,Myth-Game Directive,1,3.0,5.0,9.0,0.5555555555555556,5.5
26,myth_game_directive,Myth-Game Directive,2,3.0,5.0,9.0,0.5555555555555556,11.0
26,myth_game_directive,Myth-Game Directive,3,3.0,5.0,9.0,0.5555555555555556,16.5
26,myth_game_directive,Myth-Game Directive,4,3.0,5.0,9.0,0.5555555555555556,22.0
26,myth_game_directive,Myth-Game Directive,5,3.0,5.0,9.0,0.5555555555555556,27.5
26,myth_game_directive,Myth-Game Directive,6,3.0,5.0,9.0,0.5555555555555556,33.0
26,myth_game_directive,Myth-Game Directive,7,3.0,5.0,9.0,0.5555555555555556,38.5
26,myth_game_directive,Myth-Game Directive,8,3.0,5.0,9.0,0.5555555555555556,44.0
26,myth_game_directive,Myth-Game Directive,9,3.0,5.0,9.0,0.5555555555555556,49.5
26,myth_game_directive,Myth-Game Directive,10,3.0,5.0,9.0,0.5555555555555556,55.0
27,myth_game_directive,Myth-Game Directive,1,5.0,8.0,15.0,0.5333333333333333,7.5
27,myth_game_directive,Myth-Game Directive,2,5.0,8.0,15.0,0.5333333333333333,15.0
27,myth_game_directive,Myth-Game Directive,3,5.0,8.0,15.0,0.5333333333333333,22.5
27,myth_game_directive,Myth-Game Directive,4,5.0,8.0,15.0,0.5333333333333333,30.0
27,myth_game_directive,Myth-Game Directive,5,5.0,8.0,15.0,0.5333333333333333,37.5
27,myth_game_directive,Myth-Game Directive,6,5.0,8.0,15.0,0.5333333333333333,45.0
27,myth_game_directive,Myth-Game Directive,7,5.0,8.0,15.0,0.5333333333333333,52.5
27,myth_game_directive,Myth-Game Directive,8,5.0,8.0,15.0,0.5333333333333333,60.0
27,myth_game_directive,Myth-Game Directive,9,5.0,8.0,15.0,0.5333333333333333,67.5
27,myth_game_directive,Myth-Game Directive,10,5.0,8.0,15.0,0.5333333333333333,75.0
28,myth_game_directive,Myth-Game Directive,1,4.0,6.0,12.0,0.5,6.5
28,myth_game_directive,Myth-Game Directive,2,4.0,6.0,12.0,0.5,13.0
28,myth_game_directive,Myth-Game Directive,3,4.0,6.0,12.0,0.5,19.5
28,myth_game_directive,Myth-Game Directive,4,4.0,6.0,12.0,0.5,26.0
28,myth_game_directive,Myth-Game Directive,5,4.0,6.0,12.0,0.5,32.5
28,myth_game_directive,Myth-Game Directive,6,4.0,6.0,12.0,0.5,39.0
28,myth_game_directive,Myth-Game Directive,7,4.0,6.0,12.0,0.5,45.5
28,myth_game_directive,Myth-Game Directive,8,4.0,6.0,12.0,0.5,52.0
28,myth_game_directive,Myth-Game Directive,9,4.0,6.0,12.0,0.5,58.5
28,myth_game_directive,Myth-Game Directive,10,4.0,6.0,12.0,0.5,65.0
29,myth_game_directive,Myth-Game Directive,1,5.0,10.0,15.0,0.6666666666666666,7.5
29,myth_game_directive,Myth-Game Directive,2,5.0,10.0,15.0,0.6666666666666666,15.0
29,myth_game_directive,Myth-Game Directive,3,5.0,10.0,15.0,0.6666666666666666,22.5
29,myth_game_directive,Myth-Game Directive,4,5.0,10.0,15.0,0.6666666666666666,30.0
29,myth_game_directive,Myth-Game Directive,5,5.0,10.0,15.0,0.6666666666666666,37.5
29,myth_game_directive,Myth-Game Directive,6,5.0,10.0,15.0,0.6666666666666666,45.0
29,myth_game_directive,Myth-Game Directive,7,5.0,10.0,15.0,0.6666666666666666,52.5
29,myth_game_directive,Myth-Game Directive,8,5.0,10.0,15.0,0.6666666666666666,60.0
29,myth_game_directive,Myth-Game Directive,9,5.0,10.0,15.0,0.6666666666666666,67.5
29,myth_game_directive,Myth-Game Directive,10,5.0,10.0,15.0,0.6666666666666666,75.0
