availability,condition,replicate_id,round,trustee_id,received,returned,return_ratio
off,control,82,9,Agent_6,15.0,8.0,0.5333333333333333
off,control,82,10,Agent_2,15.0,7.5,0.5
off,control,82,10,Agent_4,15.0,7.5,0.5
off,control,82,10,Agent_7,15.0,7.5,0.5
off,control,82,10,Agent_8,15.0,6.14,0.4093333333333333
off,control,83,1,Agent_2,15.0,7.0,0.4666666666666667
off,control,83,1,Agent_4,15.0,7.0,0.4666666666666667
off,control,83,1,Agent_5,15.0,8.0,0.5333333333333333
off,control,83,1,Agent_8,15.0,8.0,0.5333333333333333
off,control,83,2,Agent_1,15.0,8.0,0.5333333333333333
off,control,83,2,Agent_3,15.0,8.0,0.5333333333333333
off,control,83,2,Agent_6,15.0,10.0,0.6666666666666666
off,control,83,2,Agent_7,15.0,8.14,0.5426666666666667
off,control,83,3,Agent_2,15.0,8.0,0.5333333333333333
off,control,83,3,Agent_4,15.0,7.5,0.5
off,control,83,3,Agent_6,15.0,9.18,0.612
off,control,83,3,Agent_7,15.0,9.52,0.6346666666666666
off,control,83,4,Agent_1,15.0,7.0,0.4666666666666667
off,control,83,4,Agent_3,15.0,9.56,0.6373333333333334
off,control,83,4,Agent_5,15.0,8.0,0.5333333333333333
off,control,83,4,Agent_8,15.0,8.0,0.5333333333333333
off,control,83,5,Agent_1,15.0,8.0,0.5333333333333333
off,control,83,5,Agent_4,15.0,8.5,0.5666666666666667
off,control,83,5,Agent_7,15.0,8.46,0.5640000000000001
off,control,83,5,Agent_8,15.0,7.3,0.48666666666666664
off,control,83,6,Agent_2,15.0,8.0,0.5333333333333333
off,control,83,6,Agent_3,15.0,10.0,0.6666666666666666
off,control,83,6,Agent_5,15.0,8.0,0.5333333333333333
off,control,83,6,Agent_6,15.0,8.66,0.5773333333333334
off,control,83,7,Agent_2,15.0,7.0,0.4666666666666667
off,control,83,7,Agent_4,15.0,8.5,0.5666666666666667
off,control,83,7,Agent_5,15.0,7.5,0.5
off,control,83,7,Agent_8,15.0,7.5,0.5
off,control,83,8,Agent_1,15.0,7.04,0.4693333333333333
off,control,83,8,Agent_3,15.0,10.0,0.6666666666666666
off,control,83,8,Agent_6,15.0,10.0,0.6666666666666666
off,control,83,8,Agent_7,15.0,8.68,0.5786666666666667
off,control,83,9,Agent_4,15.0,8.0,0.5333333333333333
off,control,83,9,Agent_5,15.0,7.5,0.5
off,control,83,9,Agent_6,15.0,8.78,0.5853333333333333
off,control,83,9,Agent_7,15.0,10.0,0.6666666666666666
off,control,83,10,Agent_1,15.0,6.12,0.40800000000000003
off,control,83,10,Agent_2,15.0,7.5,0.5
off,control,83,10,Agent_3,15.0,8.16,0.544
off,control,83,10,Agent_8,15.0,7.5,0.5
off,control,84,1,Agent_1,15.0,8.0,0.5333333333333333
off,control,84,1,Agent_2,15.0,8.0,0.5333333333333333
off,control,84,1,Agent_3,15.0,8.0,0.5333333333333333
off,control,84,1,Agent_6,15.0,8.0,0.5333333333333333
off,control,84,2,Agent_4,15.0,7.46,0.49733333333333335
off,control,84,2,Agent_5,15.0,10.0,0.6666666666666666
off,control,84,2,Agent_7,15.0,8.0,0.5333333333333333
off,control,84,2,Agent_8,15.0,8.0,0.5333333333333333
off,control,84,3,Agent_3,15.0,8.0,0.5333333333333333
off,control,84,3,Agent_4,15.0,6.69,0.446
off,control,84,3,Agent_5,15.0,10.0,0.6666666666666666
off,control,84,3,Agent_8,15.0,7.0,0.4666666666666667
off,control,84,4,Agent_1,15.0,8.0,0.5333333333333333
off,control,84,4,Agent_2,15.0,8.0,0.5333333333333333
off,control,84,4,Agent_6,15.0,8.0,0.5333333333333333
off,control,84,4,Agent_7,15.0,10.0,0.6666666666666666
off,control,84,5,Agent_1,15.0,7.0,0.4666666666666667
off,control,84,5,Agent_4,15.0,7.31,0.4873333333333333
off,control,84,5,Agent_5,15.0,9.58,0.6386666666666667
off,control,84,5,Agent_6,15.0,8.0,0.5333333333333333
off,control,84,6,Agent_2,15.0,7.0,0.4666666666666667
off,control,84,6,Agent_3,15.0,8.0,0.5333333333333333
off,control,84,6,Agent_7,15.0,9.5,0.6333333333333333
off,control,84,6,Agent_8,15.0,8.0,0.5333333333333333
off,control,84,7,Agent_1,15.0,8.0,0.5333333333333333
off,control,84,7,Agent_2,15.0,7.0,0.4666666666666667
off,control,84,7,Agent_5,15.0,9.92,0.6613333333333333
off,control,84,7,Agent_6,15.0,8.0,0.5333333333333333
off,control,84,8,Agent_3,15.0,7.4,0.49333333333333335
off,control,84,8,Agent_4,15.0,7.5,0.5
off,control,84,8,Agent_7,15.0,9.5,0.6333333333333333
off,control,84,8,Agent_8,15.0,8.0,0.5333333333333333
off,control,84,9,Agent_1,15.0,8.0,0.5333333333333333
off,control,84,9,Agent_2,15.0,7.5,0.5
off,control,84,9,Agent_3,15.0,7.04,0.4693333333333333
off,control,84,9,Agent_4,15.0,6.24,0.41600000000000004
off,control,84,10,Agent_5,15.0,9.02,0.6013333333333333
off,control,84,10,Agent_6,15.0,8.0,0.5333333333333333
off,control,84,10,Agent_7,15.0,10.0,0.6666666666666666
off,control,84,10,Agent_8,15.0,8.0,0.5333333333333333
off,control,85,1,Agent_2,15.0,8.0,0.5333333333333333
off,control,85,1,Agent_3,15.0,7.27,0.48466666666666663
off,control,85,1,Agent_7,15.0,8.0,0.5333333333333333
off,control,85,1,Agent_8,15.0,8.0,0.5333333333333333
off,control,85,2,Agent_1,15.0,8.0,0.5333333333333333
off,control,85,2,Agent_4,15.0,8.0,0.5333333333333333
off,control,85,2,Agent_5,15.0,8.0,0.5333333333333333
off,control,85,2,Agent_6,15.0,8.3,0.5533333333333333
off,control,85,3,Agent_3,15.0,6.12,0.40800000000000003
off,control,85,3,Agent_6,15.0,9.38,0.6253333333333334
off,control,85,3,Agent_7,15.0,7.5,0.5
off,control,85,3,Agent_8,15.0,8.0,0.5333333333333333
off,control,85,4,Agent_1,15.0,8.5,0.5666666666666667
off,control,85,4,Agent_2,15.0,7.0,0.4666666666666667
off,control,85,4,Agent_4,15.0,8.0,0.5333333333333333
off,control,85,4,Agent_5,15.0,8.0,0.5333333333333333
off,control,85,5,Agent_3,15.0,6.42,0.428
off,control,85,5,Agent_4,15.0,8.0,0.5333333333333333
off,control,85,5,Agent_5,15.0,7.41,0.494
off,control,85,5,Agent_8,15.0,6.0,0.4
off,control,85,6,Agent_1,15.0,10.0,0.6666666666666666
off,control,85,6,Agent_2,15.0,7.5,0.5
off,control,85,6,Agent_6,15.0,8.22,0.548
off,control,85,6,Agent_7,15.0,8.0,0.5333333333333333
off,control,85,7,Agent_3,15.0,7.5,0.5
off,control,85,7,Agent_5,15.0,7.47,0.498
off,control,85,7,Agent_7,15.0,7.5,0.5
off,control,85,7,Agent_8,15.0,6.36,0.42400000000000004
off,control,85,8,Agent_1,15.0,8.0,0.5333333333333333
off,control,85,8,Agent_2,15.0,7.5,0.5
off,control,85,8,Agent_4,15.0,10.0,0.6666666666666666
off,control,85,8,Agent_6,15.0,10.0,0.6666666666666666
off,control,85,9,Agent_3,15.0,8.74,0.5826666666666667
off,control,85,9,Agent_5,15.0,7.5,0.5
off,control,85,9,Agent_6,15.0,8.54,0.5693333333333332
off,control,85,9,Agent_8,15.0,7.14,0.476
off,control,85,10,Agent_1,15.0,10.0,0.6666666666666666
off,control,85,10,Agent_2,15.0,7.5,0.5
off,control,85,10,Agent_4,15.0,10.0,0.6666666666666666
off,control,85,10,Agent_7,15.0,8.0,0.5333333333333333
off,control,86,1,Agent_2,15.0,7.0,0.4666666666666667
off,control,86,1,Agent_3,15.0,7.45,0.4966666666666667
off,control,86,1,Agent_4,15.0,7.185,0.479
off,control,86,1,Agent_7,15.0,7.27,0.48466666666666663
off,control,86,2,Agent_1,15.0,7.0,0.4666666666666667
off,control,86,2,Agent_5,15.0,8.0,0.5333333333333333
off,control,86,2,Agent_6,15.0,7.27,0.48466666666666663
off,control,86,2,Agent_8,15.0,10.0,0.6666666666666666
off,control,86,3,Agent_2,15.0,7.5,0.5
off,control,86,3,Agent_3,15.0,7.65,0.51
off,control,86,3,Agent_4,15.0,7.5,0.5
off,control,86,3,Agent_8,15.0,10.0,0.6666666666666666
off,control,86,4,Agent_1,15.0,7.0,0.4666666666666667
off,control,86,4,Agent_5,15.0,7.5,0.5
off,control,86,4,Agent_6,15.0,7.5,0.5
off,control,86,4,Agent_7,15.0,7.5,0.5
off,control,86,5,Agent_2,15.0,6.33,0.422
off,control,86,5,Agent_3,15.0,9.0,0.6
off,control,86,5,Agent_7,15.0,6.25,0.4166666666666667
off,control,86,5,Agent_8,15.0,10.0,0.6666666666666666
off,control,86,6,Agent_1,15.0,6.5,0.43333333333333335
off,control,86,6,Agent_4,15.0,6.03,0.402
off,control,86,6,Agent_5,15.0,8.0,0.5333333333333333
off,control,86,6,Agent_6,15.0,6.43,0.42866666666666664
off,control,86,7,Agent_1,15.0,7.2,0.48000000000000004
off,control,86,7,Agent_4,15.0,7.5,0.5
off,control,86,7,Agent_7,15.0,6.93,0.46199999999999997
off,control,86,7,Agent_8,15.0,10.0,0.6666666666666666
off,control,86,8,Agent_2,15.0,6.27,0.418
off,control,86,8,Agent_3,15.0,8.5,0.5666666666666667
off,control,86,8,Agent_5,15.0,8.0,0.5333333333333333
off,control,86,8,Agent_6,15.0,7.5,0.5
off,control,86,9,Agent_1,15.0,7.5,0.5
off,control,86,9,Agent_2,15.0,7.5,0.5
off,control,86,9,Agent_4,15.0,7.46,0.49733333333333335
off,control,86,9,Agent_6,15.0,6.8,0.4533333333333333
off,control,86,10,Agent_3,15.0,9.0,0.6
off,control,86,10,Agent_5,15.0,8.0,0.5333333333333333
off,control,86,10,Agent_7,15.0,7.36,0.4906666666666667
off,control,86,10,Agent_8,15.0,10.0,0.6666666666666666
off,control,87,1,Agent_2,15.0,8.0,0.5333333333333333
off,control,87,1,Agent_5,15.0,6.95,0.4633333333333333
off,control,87,1,Agent_6,15.0,8.0,0.5333333333333333
off,control,87,1,Agent_8,15.0,8.0,0.5333333333333333
off,control,87,2,Agent_1,15.0,8.0,0.5333333333333333
off,control,87,2,Agent_3,15.0,8.62,0.5746666666666667
off,control,87,2,Agent_4,15.0,8.0,0.5333333333333333
off,control,87,2,Agent_7,15.0,8.96,0.5973333333333334
off,control,87,3,Agent_3,15.0,8.98,0.5986666666666667
off,control,87,3,Agent_5,15.0,7.1,0.47333333333333333
off,control,87,3,Agent_6,15.0,8.0,0.5333333333333333
off,control,87,3,Agent_7,15.0,10.0,0.6666666666666666
off,control,87,4,Agent_1,15.0,8.0,0.5333333333333333
off,control,87,4,Agent_2,15.0,7.0,0.4666666666666667
off,control,87,4,Agent_4,15.0,7.12,0.4746666666666667
off,control,87,4,Agent_8,15.0,7.0,0.4666666666666667
off,control,87,5,Agent_2,15.0,7.0,0.4666666666666667
off,control,87,5,Agent_3,15.0,8.84,0.5893333333333334
off,control,87,5,Agent_7,15.0,10.0,0.6666666666666666
off,control,87,5,Agent_8,15.0,7.5,0.5
off,control,87,6,Agent_1,15.0,8.0,0.5333333333333333
off,control,87,6,Agent_4,15.0,7.5,0.5
off,control,87,6,Agent_5,15.0,7.5,0.5
off,control,87,6,Agent_6,15.0,8.0,0.5333333333333333
off,control,87,7,Agent_1,15.0,8.0,0.5333333333333333
off,control,87,7,Agent_6,15.0,7.0,0.4666666666666667
off,control,87,7,Agent_7,15.0,9.0,0.6
off,control,87,7,Agent_8,15.0,7.0,0.4666666666666667
off,control,87,8,Agent_2,15.0,7.5,0.5
off,control,87,8,Agent_3,15.0,9.66,0.644
off,control,87,8,Agent_4,15.0,7.5,0.5
off,control,87,8,Agent_5,15.0,7.5,0.5
off,control,87,9,Agent_2,15.0,7.5,0.5
off,control,87,9,Agent_3,15.0,10.0,0.6666666666666666
off,control,87,9,Agent_4,15.0,7.5,0.5
off,control,87,9,Agent_6,15.0,7.5,0.5
off,control,87,10,Agent_1,15.0,7.0,0.4666666666666667
off,control,87,10,Agent_5,15.0,6.33,0.422
off,control,87,10,Agent_7,15.0,10.0,0.6666666666666666
off,control,87,10,Agent_8,15.0,7.0,0.4666666666666667
off,control,88,1,Agent_1,15.0,7.0,0.4666666666666667
off,control,88,1,Agent_3,15.0,8.0,0.5333333333333333
off,control,88,1,Agent_7,15.0,8.0,0.5333333333333333
off,control,88,1,Agent_8,15.0,6.82,0.45466666666666666
off,control,88,2,Agent_2,15.0,8.0,0.5333333333333333
off,control,88,2,Agent_4,15.0,8.0,0.5333333333333333
off,control,88,2,Agent_5,15.0,8.0,0.5333333333333333
off,control,88,2,Agent_6,15.0,10.0,0.6666666666666666
off,control,88,3,Agent_2,15.0,7.0,0.4666666666666667
off,control,88,3,Agent_3,15.0,8.0,0.5333333333333333
off,control,88,3,Agent_6,15.0,9.6,0.64
off,control,88,3,Agent_7,15.0,7.0,0.4666666666666667
off,control,88,4,Agent_1,15.0,7.5,0.5
off,control,88,4,Agent_4,15.0,8.0,0.5333333333333333
off,control,88,4,Agent_5,15.0,7.0,0.4666666666666667
off,control,88,4,Agent_8,15.0,7.5,0.5
off,control,88,5,Agent_3,15.0,8.5,0.5666666666666667
off,control,88,5,Agent_4,15.0,7.18,0.47866666666666663
off,control,88,5,Agent_5,15.0,6.5,0.43333333333333335
off,control,88,5,Agent_7,15.0,8.0,0.5333333333333333
off,control,88,6,Agent_1,15.0,7.5,0.5
off,control,88,6,Agent_2,15.0,7.5,0.5
off,control,88,6,Agent_6,15.0,9.12,0.608
off,control,88,6,Agent_8,15.0,7.49,0.49933333333333335
off,control,88,7,Agent_1,15.0,6.62,0.44133333333333336
off,control,88,7,Agent_2,15.0,7.5,0.5
off,control,88,7,Agent_3,15.0,10.0,0.6666666666666666
off,control,88,7,Agent_5,15.0,7.5,0.5
off,control,88,8,Agent_4,15.0,7.05,0.47
off,control,88,8,Agent_6,15.0,10.0,0.6666666666666666
off,control,88,8,Agent_7,15.0,7.0,0.4666666666666667
off,control,88,8,Agent_8,15.0,7.5,0.5
off,control,88,9,Agent_3,15.0,8.8,0.5866666666666667
off,control,88,9,Agent_5,15.0,7.0,0.4666666666666667
off,control,88,9,Agent_6,15.0,9.72,0.648
off,control,88,9,Agent_8,15.0,7.5,0.5
off,control,88,10,Agent_1,15.0,7.5,0.5
off,control,88,10,Agent_2,15.0,7.5,0.5
off,control,88,10,Agent_4,15.0,7.26,0.484
off,control,88,10,Agent_7,15.0,7.0,0.4666666666666667
off,control,89,1,Agent_2,15.0,8.0,0.5333333333333333
off,control,89,1,Agent_3,15.0,8.0,0.5333333333333333
off,control,89,1,Agent_4,15.0,8.0,0.5333333333333333
off,control,89,1,Agent_7,15.0,6.78,0.452
off,control,89,2,Agent_1,15.0,6.69,0.446
off,control,89,2,Agent_5,15.0,7.04,0.4693333333333333
off,control,89,2,Agent_6,15.0,8.82,0.588
off,control,89,2,Agent_8,15.0,8.0,0.5333333333333333
off,control,89,3,Agent_4,15.0,7.5,0.5
off,control,89,3,Agent_5,15.0,7.5,0.5
off,control,89,3,Agent_6,15.0,10.0,0.6666666666666666
off,control,89,3,Agent_8,15.0,7.0,0.4666666666666667
off,control,89,4,Agent_1,15.0,6.43,0.42866666666666664
off,control,89,4,Agent_2,15.0,8.0,0.5333333333333333
off,control,89,4,Agent_3,15.0,8.0,0.5333333333333333
off,control,89,4,Agent_7,15.0,6.48,0.43200000000000005
off,control,89,5,Agent_1,15.0,7.5,0.5
off,control,89,5,Agent_2,15.0,8.0,0.5333333333333333
off,control,89,5,Agent_4,15.0,7.8,0.52
off,control,89,5,Agent_7,15.0,6.15,0.41000000000000003
off,control,89,6,Agent_3,15.0,7.0,0.4666666666666667
off,control,89,6,Agent_5,15.0,7.17,0.478
off,control,89,6,Agent_6,15.0,9.92,0.6613333333333333
off,control,89,6,Agent_8,15.0,8.0,0.5333333333333333
off,control,89,7,Agent_3,15.0,8.0,0.5333333333333333
off,control,89,7,Agent_4,15.0,8.0,0.5333333333333333
off,control,89,7,Agent_5,15.0,6.2,0.41333333333333333
off,control,89,7,Agent_7,15.0,7.5,0.5
off,control,89,8,Agent_1,15.0,6.84,0.456
off,control,89,8,Agent_2,15.0,7.0,0.4666666666666667
off,control,89,8,Agent_6,15.0,8.78,0.5853333333333333
off,control,89,8,Agent_8,15.0,8.0,0.5333333333333333
off,control,89,9,Agent_1,15.0,7.35,0.49
off,control,89,9,Agent_3,15.0,7.5,0.5
off,control,89,9,Agent_4,15.0,8.0,0.5333333333333333
off,control,89,9,Agent_7,15.0,6.42,0.428
off,control,89,10,Agent_2,15.0,7.5,0.5
off,control,89,10,Agent_5,15.0,7.5,0.5
off,control,89,10,Agent_6,15.0,10.0,0.6666666666666666
off,control,89,10,Agent_8,15.0,6.5,0.43333333333333335
off,defectors25,80,1,Agent_1,15.0,7.04,0.4693333333333333
off,defectors25,80,1,Agent_3,15.0,7.18,0.47866666666666663
off,defectors25,80,2,Agent_2,15.0,8.0,0.5333333333333333
off,defectors25,80,2,Agent_7,15.0,8.0,0.5333333333333333
off,defectors25,80,3,Agent_1,15.0,7.5,0.5
off,defectors25,80,3,Agent_6,15.0,8.0,0.5333333333333333
off,defectors25,80,4,Agent_3,15.0,7.5,0.5
off,defectors25,80,4,Agent_7,15.0,10.0,0.6666666666666666
off,defectors25,80,5,Agent_6,15.0,8.0,0.5333333333333333
off,defectors25,80,5,Agent_8,15.0,7.5,0.5
off,defectors25,80,6,Agent_2,15.0,7.23,0.48200000000000004
off,defectors25,80,6,Agent_3,15.0,7.5,0.5
off,defectors25,80,6,Agent_7,15.0,10.0,0.6666666666666666
off,defectors25,80,7,Agent_3,15.0,7.5,0.5
off,defectors25,80,7,Agent_6,15.0,7.47,0.498
off,defectors25,80,8,Agent_1,15.0,8.96,0.5973333333333334
off,defectors25,80,8,Agent_8,15.0,7.5,0.5
off,defectors25,80,9,Agent_1,15.0,10.0,0.6666666666666666
off,defectors25,80,9,Agent_8,15.0,7.22,0.48133333333333334
off,defectors25,80,10,Agent_3,15.0,7.5,0.5
off,defectors25,80,10,Agent_6,15.0,7.5,0.5
off,defectors25,80,10,Agent_7,15.0,10.0,0.6666666666666666
off,defectors25,81,1,Agent_1,15.0,7.0,0.4666666666666667
off,defectors25,81,1,Agent_2,15.0,8.0,0.5333333333333333
off,defectors25,81,2,Agent_6,15.0,10.0,0.6666666666666666
off,defectors25,81,2,Agent_7,15.0,7.4,0.49333333333333335
off,defectors25,81,3,Agent_4,15.0,7.02,0.46799999999999997
off,defectors25,81,3,Agent_6,15.0,8.28,0.5519999999999999
off,defectors25,81,4,Agent_1,15.0,8.0,0.5333333333333333
off,defectors25,81,4,Agent_2,15.0,7.26,0.484
off,defectors25,81,5,Agent_1,15.0,8.0,0.5333333333333333
off,defectors25,81,5,Agent_4,15.0,7.5,0.5
off,defectors25,81,6,Agent_2,15.0,6.58,0.43866666666666665
off,defectors25,81,6,Agent_7,15.0,6.85,0.45666666666666667
off,defectors25,81,7,Agent_5,15.0,10.0,0.6666666666666666
off,defectors25,81,7,Agent_6,15.0,8.0,0.5333333333333333
off,defectors25,81,8,Agent_2,15.0,7.02,0.46799999999999997
off,defectors25,81,8,Agent_4,15.0,6.31,0.42066666666666663
off,defectors25,81,8,Agent_7,15.0,7.5,0.5
off,defectors25,81,9,Agent_5,15.0,7.11,0.47400000000000003
off,defectors25,81,9,Agent_7,15.0,7.5,0.5
off,defectors25,81,10,Agent_4,15.0,7.27,0.48466666666666663
off,defectors25,81,10,Agent_6,15.0,8.0,0.5333333333333333
off,defectors25,82,1,Agent_2,15.0,8.0,0.5333333333333333
off,defectors25,82,1,Agent_4,15.0,6.22,0.41466666666666663
off,defectors25,82,2,Agent_1,15.0,7.0,0.4666666666666667
off,defectors25,82,2,Agent_5,15.0,8.0,0.5333333333333333
off,defectors25,82,3,Agent_6,15.0,7.5,0.5
off,defectors25,82,4,Agent_2,15.0,7.0,0.4666666666666667
off,defectors25,82,4,Agent_8,15.0,7.5,0.5
off,defectors25,82,5,Agent_1,15.0,7.5,0.5
off,defectors25,82,5,Agent_4,15.0,6.72,0.448
off,defectors25,82,6,Agent_6,15.0,6.38,0.42533333333333334
off,defectors25,82,6,Agent_8,15.0,7.5,0.5
off,defectors25,82,7,Agent_1,15.0,7.5,0.5
off,defectors25,82,7,Agent_4,15.0,7.5,0.5
off,defectors25,82,7,Agent_8,15.0,6.67,0.44466666666666665
off,defectors25,82,8,Agent_5,15.0,7.5,0.5
off,defectors25,82,8,Agent_6,15.0,6.51,0.434
off,defectors25,82,9,Agent_1,15.0,6.05,0.4033333333333333
off,defectors25,82,9,Agent_5,15.0,7.5,0.5
off,defectors25,82,9,Agent_6,15.0,7.5,0.5
off,defectors25,82,10,Agent_2,15.0,7.5,0.5
off,defectors25,82,10,Agent_8,15.0,6.13,0.4086666666666667
off,defectors25,83,1,Agent_4,15.0,6.28,0.4186666666666667
off,defectors25,83,1,Agent_5,15.0,8.0,0.5333333333333333
off,defectors25,83,2,Agent_1,15.0,8.0,0.5333333333333333
off,defectors25,83,2,Agent_3,15.0,8.0,0.5333333333333333
