availability,availability_label,condition,condition_label,replicate_id,round,standard_send_ratio,standard_return_ratio,standard_myth_coop_density
off,Unavailable,control,0% defectors,64,8,0.75,0.48916666666666664,4.113082904404304
off,Unavailable,control,0% defectors,64,9,0.75,0.3729166666666667,4.211347946050933
off,Unavailable,control,0% defectors,64,10,0.9,0.475,4.121722461395977
off,Unavailable,control,0% defectors,65,1,0.8500000000000001,0.4141666666666667,3.6922458777045453
off,Unavailable,control,0% defectors,65,2,0.825,0.38888888888888884,4.344498954615615
off,Unavailable,control,0% defectors,65,3,0.8,0.45833333333333326,4.108287743269943
off,Unavailable,control,0% defectors,65,4,0.825,0.32764880952380954,4.704459378467234
off,Unavailable,control,0% defectors,65,5,0.8999999999999999,0.35833333333333334,4.396487629087549
off,Unavailable,control,0% defectors,65,6,0.95,0.3825,4.419699553208909
off,Unavailable,control,0% defectors,65,7,0.875,0.42592592592592593,4.1293830688864785
off,Unavailable,control,0% defectors,65,8,0.8500000000000001,0.4013888888888889,4.561702818263344
off,Unavailable,control,0% defectors,65,9,0.8500000000000001,0.37638888888888894,4.544045729783849
off,Unavailable,control,0% defectors,65,10,0.9,0.4,4.717445680627177
off,Unavailable,defectors25,25% defectors,61,1,0.8,0.3916666666666667,3.489316157361241
off,Unavailable,defectors25,25% defectors,61,2,0.8,0.3572222222222222,4.5635807160468795
off,Unavailable,defectors25,25% defectors,61,3,0.7999999999999999,0.39972222222222226,4.185360843813667
off,Unavailable,defectors25,25% defectors,61,4,0.9333333333333332,0.2583333333333333,4.347742103689051
off,Unavailable,defectors25,25% defectors,61,5,1.0,0.3333333333333333,3.9461716988031523
off,Unavailable,defectors25,25% defectors,61,6,0.8666666666666667,0.48277777777777775,4.258569067666079
off,Unavailable,defectors25,25% defectors,61,7,0.8333333333333334,0.2761904761904762,4.274031490638914
off,Unavailable,defectors25,25% defectors,61,8,1.0,0.353,4.0665938268077175
off,Unavailable,defectors25,25% defectors,61,9,0.7333333333333334,0.26861111111111113,4.945699361098815
off,Unavailable,defectors25,25% defectors,61,10,0.9333333333333332,0.20533333333333334,4.103128097060356
off,Unavailable,defectors25,25% defectors,62,1,0.7333333333333334,0.43027777777777776,3.5101921748756006
off,Unavailable,defectors25,25% defectors,62,2,0.7333333333333334,0.5022222222222221,4.498515704302833
off,Unavailable,defectors25,25% defectors,62,3,0.7,0.48569444444444443,4.811827797861064
off,Unavailable,defectors25,25% defectors,62,4,0.675,0.40160714285714283,4.224311096291328
off,Unavailable,defectors25,25% defectors,62,5,0.7,0.5,4.257401880668721
off,Unavailable,defectors25,25% defectors,62,6,0.8500000000000001,0.5041666666666667,4.181742127973285
off,Unavailable,defectors25,25% defectors,62,7,0.7,0.475,3.665313891985035
off,Unavailable,defectors25,25% defectors,62,8,0.75,0.41666666666666663,3.8301637910875908
off,Unavailable,defectors25,25% defectors,62,9,0.9333333333333332,0.5429166666666667,4.612444720045699
off,Unavailable,defectors25,25% defectors,62,10,0.8666666666666667,0.29166666666666663,4.8497497184629585
off,Unavailable,defectors25,25% defectors,63,1,0.8,0.375,3.831471143903219
off,Unavailable,defectors25,25% defectors,63,2,0.8,0.3333333333333333,4.214118700739982
off,Unavailable,defectors25,25% defectors,63,3,0.8,0.4,4.515538459010856
off,Unavailable,defectors25,25% defectors,63,4,0.85,0.3333333333333333,4.096301258031498
off,Unavailable,defectors25,25% defectors,63,5,0.8500000000000001,0.29166666666666663,3.9891324546732725
off,Unavailable,defectors25,25% defectors,63,6,0.9,0.375,3.3192260986400086
off,Unavailable,defectors25,25% defectors,63,7,1.0,0.3666666666666667,3.697832582558068
off,Unavailable,defectors25,25% defectors,63,8,0.8000000000000002,0.3,3.550398161007365
off,Unavailable,defectors25,25% defectors,63,9,0.8666666666666667,0.3888888888888889,3.3682511106801662
off,Unavailable,defectors25,25% defectors,63,10,0.9333333333333332,0.3833333333333333,3.4968915246342855
off,Unavailable,defectors25,25% defectors,64,1,0.6666666666666666,0.6322222222222222,3.3174903568243495
off,Unavailable,defectors25,25% defectors,64,2,0.6666666666666666,0.5555555555555556,3.9117573123583416
off,Unavailable,defectors25,25% defectors,64,3,1.0,0.37666666666666665,4.897304000902351
off,Unavailable,defectors25,25% defectors,64,4,0.7250000000000001,0.4083333333333333,4.213097907861189
off,Unavailable,defectors25,25% defectors,64,5,0.8666666666666667,0.4,4.05901867484999
off,Unavailable,defectors25,25% defectors,64,6,0.6666666666666666,0.36944444444444446,4.687285183656527
off,Unavailable,defectors25,25% defectors,64,7,0.7666666666666666,0.28179894179894177,4.443676358860741
off,Unavailable,defectors25,25% defectors,64,8,0.8000000000000002,0.49583333333333335,4.283009032831027
off,Unavailable,defectors25,25% defectors,64,9,0.7999999999999999,0.4444444444444444,4.029750963570545
off,Unavailable,defectors25,25% defectors,64,10,0.8666666666666667,0.3320833333333333,4.10579564476315
off,Unavailable,defectors25,25% defectors,65,1,0.7333333333333334,0.38888888888888884,4.077223642320228
off,Unavailable,defectors25,25% defectors,65,2,0.4666666666666666,0.2608333333333333,4.1131974996983685
off,Unavailable,defectors25,25% defectors,65,3,0.7,0.44666666666666666,4.5153370209727575
off,Unavailable,defectors25,25% defectors,65,4,0.8,0.3,4.018148138678182
off,Unavailable,defectors25,25% defectors,65,5,0.8166666666666668,0.45751633986928103,4.538282096417294
off,Unavailable,defectors25,25% defectors,65,6,0.7333333333333334,0.32375,4.225011627434546
off,Unavailable,defectors25,25% defectors,65,7,0.9875,0.4,4.566310799937391
off,Unavailable,defectors25,25% defectors,65,8,0.7,0.28027777777777774,4.248148758009077
off,Unavailable,defectors25,25% defectors,65,9,0.9333333333333332,0.31,4.308178815821375
off,Unavailable,defectors25,25% defectors,65,10,0.8666666666666667,0.32583333333333336,5.042343981272629
on,Available,control,0% defectors,61,1,0.7,0.3227777777777778,3.4801921171967534
on,Available,control,0% defectors,61,2,0.7749999999999999,0.369047619047619,4.415815859180057
on,Available,control,0% defectors,61,3,0.8,0.41180555555555554,4.304937174874651
on,Available,control,0% defectors,61,4,0.65,0.3048611111111111,4.298985825297723
on,Available,control,0% defectors,61,5,0.8,0.40555555555555556,4.0190842593804375
on,Available,control,0% defectors,61,6,0.85,0.4041666666666666,4.698966232240178
on,Available,control,0% defectors,61,7,0.75,0.34027777777777773,4.873540056046865
on,Available,control,0% defectors,61,8,0.8,0.2625,4.347531675400732
on,Available,control,0% defectors,61,9,0.8,0.3666666666666667,4.583933771469958
on,Available,control,0% defectors,61,10,0.8500000000000001,0.4111111111111111,4.26444398274786
on,Available,control,0% defectors,62,1,0.7,0.39805555555555555,3.45345148523828
on,Available,control,0% defectors,62,2,0.65,0.38333333333333336,4.430578869189708
on,Available,control,0% defectors,62,3,0.95,0.3875,4.517339564621931
on,Available,control,0% defectors,62,4,0.8,0.45555555555555555,4.789672472076939
on,Available,control,0% defectors,62,5,1.0,0.45,4.2856482480843265
on,Available,control,0% defectors,62,6,0.75,0.4638888888888889,4.600839165772155
on,Available,control,0% defectors,62,7,0.8500000000000001,0.4291666666666667,4.7270636087645785
on,Available,control,0% defectors,62,8,0.8999999999999999,0.42916666666666664,4.60637801469387
on,Available,control,0% defectors,62,9,0.9,0.39999999999999997,4.412459861864715
on,Available,control,0% defectors,62,10,0.8999999999999999,0.39166666666666666,4.1276029948794974
on,Available,control,0% defectors,63,1,0.65,0.5208333333333334,4.159078517813139
on,Available,control,0% defectors,63,2,0.6249999999999999,0.32242063492063494,3.889856216110905
on,Available,control,0% defectors,63,3,0.8,0.3958333333333333,3.7772846752387252
on,Available,control,0% defectors,63,4,0.75,0.4359722222222222,3.8939570987331593
on,Available,control,0% defectors,63,5,0.75,0.3055555555555556,3.4544732551367234
on,Available,control,0% defectors,63,6,0.85,0.4951388888888889,4.091636627243968
on,Available,control,0% defectors,63,7,0.8500000000000001,0.45,3.8963569036995724
on,Available,control,0% defectors,63,8,0.8,0.4,3.7085164151070407
on,Available,control,0% defectors,63,9,0.875,0.4303571428571429,4.091381982984771
on,Available,control,0% defectors,63,10,0.7000000000000001,0.4305555555555555,3.603496985118718
on,Available,control,0% defectors,64,1,0.8,0.4189583333333333,3.2836873969344023
on,Available,control,0% defectors,64,2,0.7,0.36111111111111105,4.036537087196228
on,Available,control,0% defectors,64,3,0.95,0.3686666666666667,3.720783648805696
on,Available,control,0% defectors,64,4,0.8,0.45416666666666666,3.9280660323937164
on,Available,control,0% defectors,64,5,0.8999999999999999,0.36666666666666664,4.097119633323177
on,Available,control,0% defectors,64,6,0.8999999999999999,0.4270833333333333,3.7960516537500997
on,Available,control,0% defectors,64,7,0.9,0.3308333333333333,3.5378654410852053
on,Available,control,0% defectors,64,8,0.8,0.5055555555555555,4.172697908442982
on,Available,control,0% defectors,64,9,0.9,0.3555555555555555,4.277453115479505
on,Available,control,0% defectors,64,10,0.8500000000000001,0.47020833333333334,3.9531555239976663
on,Available,control,0% defectors,65,1,0.7,0.365625,3.2603942747899235
on,Available,control,0% defectors,65,2,0.7500000000000001,0.4652777777777778,3.285580907472555
on,Available,control,0% defectors,65,3,0.75,0.4152777777777778,3.5704921324800436
on,Available,control,0% defectors,65,4,0.65,0.40277777777777773,3.7838992782563237
on,Available,control,0% defectors,65,5,0.8999999999999999,0.48750000000000004,3.124825975931083
on,Available,control,0% defectors,65,6,0.8,0.4680555555555556,3.200723051779915
on,Available,control,0% defectors,65,7,0.85,0.5416666666666666,3.177791546359676
on,Available,control,0% defectors,65,8,0.9,0.4208333333333334,3.081466282682988
on,Available,control,0% defectors,65,9,0.95,0.4708333333333333,3.5849184598392423
on,Available,control,0% defectors,65,10,0.9,0.4722222222222222,3.8945153943637125
on,Available,defectors25,25% defectors,61,1,0.7500000000000001,0.5277777777777778,3.875528555060176
on,Available,defectors25,25% defectors,61,2,0.7,0.3333333333333333,5.508616263203419
on,Available,defectors25,25% defectors,61,3,0.8666666666666667,0.4166666666666667,4.4306517671566406
on,Available,defectors25,25% defectors,61,4,0.6666666666666666,0.35,5.6868105577891725
on,Available,defectors25,25% defectors,61,5,0.8666666666666667,0.5158333333333334,4.937544086118498
on,Available,defectors25,25% defectors,61,6,0.8666666666666667,0.45925925925925926,4.923786453974232
on,Available,defectors25,25% defectors,61,7,0.8666666666666667,0.4033333333333333,4.569165468240139
on,Available,defectors25,25% defectors,61,8,0.8000000000000002,0.4083333333333333,4.670589881732956
on,Available,defectors25,25% defectors,61,9,0.8666666666666667,0.453,4.591433625217303
on,Available,defectors25,25% defectors,61,10,0.7999999999999999,0.3194444444444444,4.753489661965912
on,Available,defectors25,25% defectors,62,1,0.8000000000000002,0.5758333333333333,3.215206814628958
on,Available,defectors25,25% defectors,62,2,0.6666666666666666,0.41666666666666663,3.4522512316552287
on,Available,defectors25,25% defectors,62,3,1.0,0.4,3.7450646126997698
on,Available,defectors25,25% defectors,62,4,0.8500000000000001,0.4666666666666667,4.0669535477096055
on,Available,defectors25,25% defectors,62,5,0.8,0.41666666666666663,3.8377207691130817
on,Available,defectors25,25% defectors,62,6,0.9,0.5166666666666666,3.871859007987332
on,Available,defectors25,25% defectors,62,7,1.0,0.4666666666666667,4.700066905455142
on,Available,defectors25,25% defectors,62,8,0.7000000000000001,0.5,4.403323233797782
on,Available,defectors25,25% defectors,62,9,0.9333333333333332,0.39366666666666666,4.571671807558933
on,Available,defectors25,25% defectors,62,10,0.9333333333333332,0.4,4.086377895048922
on,Available,defectors25,25% defectors,63,1,0.7,0.4277777777777778,3.6086414121678048
on,Available,defectors25,25% defectors,63,2,0.65,0.3194444444444444,3.7522711992300164
on,Available,defectors25,25% defectors,63,3,0.6,0.4444444444444444,3.800827008832782
on,Available,defectors25,25% defectors,63,4,0.7,0.41666666666666663,3.8067946113293245
on,Available,defectors25,25% defectors,63,5,0.8,0.45833333333333337,4.277079972443889
on,Available,defectors25,25% defectors,63,6,0.8,0.6666666666666666,3.6774316536280995
on,Available,defectors25,25% defectors,63,7,1.0,0.3666666666666667,4.138621227813225
on,Available,defectors25,25% defectors,63,8,0.7333333333333334,0.45833333333333337,3.556415470561038
on,Available,defectors25,25% defectors,63,9,0.9333333333333332,0.4572222222222222,4.044498856431717
on,Available,defectors25,25% defectors,63,10,0.8666666666666667,0.48333333333333334,4.242661521420747
on,Available,defectors25,25% defectors,64,1,0.7333333333333334,0.5666666666666667,3.2662302456086074
on,Available,defectors25,25% defectors,64,2,0.7333333333333334,0.3333333333333333,4.27238486337118
on,Available,defectors25,25% defectors,64,3,0.8,0.33958333333333335,3.885607261650868
on,Available,defectors25,25% defectors,64,4,0.75,0.4722222222222222,4.489085368489345
on,Available,defectors25,25% defectors,64,5,1.0,0.3666666666666667,4.276768826017054
on,Available,defectors25,25% defectors,64,6,0.8666666666666667,0.41333333333333333,4.5760726185620175
on,Available,defectors25,25% defectors,64,7,0.8666666666666667,0.41161111111111115,3.6872787271119662
on,Available,defectors25,25% defectors,64,8,0.8666666666666667,0.44166666666666665,3.6823617023892523
on,Available,defectors25,25% defectors,64,9,1.0,0.4262222222222222,4.169724649718252
on,Available,defectors25,25% defectors,64,10,0.9333333333333332,0.3833333333333333,3.9945576490516785
on,Available,defectors25,25% defectors,65,1,0.6666666666666666,0.5,3.5227003719488486
on,Available,defectors25,25% defectors,65,2,0.5333333333333333,0.4027777777777778,3.6869694350295643
on,Available,defectors25,25% defectors,65,3,0.8,0.45833333333333337,4.5231906456706605
on,Available,defectors25,25% defectors,65,4,0.7500000000000001,0.4305555555555556,4.595231001715259
on,Available,defectors25,25% defectors,65,5,0.8000000000000002,0.4722222222222222,4.8503231476453506
on,Available,defectors25,25% defectors,65,6,0.8666666666666667,0.5333333333333333,4.2752201010877675
on,Available,defectors25,25% defectors,65,7,0.8,0.5833333333333333,4.706215615007515
on,Available,defectors25,25% defectors,65,8,0.9,0.3416666666666667,4.780154201311627
on,Available,defectors25,25% defectors,65,9,0.9333333333333332,0.4,4.853538286354287
on,Available,defectors25,25% defectors,65,10,0.8666666666666667,0.37777777777777777,4.790777015170298
